dataset,param_set,channel,wavelength_nm,irradiance_mean,irradiance_std,n_curves
diameter,0.5mm,Middle,347.0,1.43e-07,,1
diameter,0.5mm,Middle,348.0,2.9e-07,,1
diameter,0.5mm,Middle,349.0,1.45e-07,,1
diameter,0.5mm,Middle,350.0,4e-07,,1
diameter,0.5mm,Middle,351.0,6.56e-07,,1
diameter,0.5mm,Middle,352.0,8.38e-06,,1
diameter,0.5mm,Middle,353.0,3.43e-05,,1
diameter,0.5mm,Middle,354.0,7.37e-05,,1
diameter,0.5mm,Middle,355.0,9.96e-05,,1
diameter,0.5mm,Middle,356.0,0.000101,,1
diameter,0.5mm,Middle,357.0,8.64e-05,,1
diameter,0.5mm,Middle,358.0,6.27e-05,,1
diameter,0.5mm,Middle,359.0,3.21e-05,,1
diameter,0.5mm,Middle,360.0,5.04e-06,,1
diameter,0.5mm,Middle,361.0,2.49e-06,,1
diameter,0.5mm,Middle,362.0,1.85e-06,,1
diameter,0.5mm,Middle,363.0,1.23e-06,,1
diameter,0.5mm,Middle,364.0,2.28e-07,,1
diameter,0.5mm,Middle,365.0,1.45e-07,,1
diameter,0.5mm,Middle,366.0,6.28e-08,,1
diameter,0.5mm,Middle,367.0,4.24e-07,,1
diameter,0.5mm,Middle,368.0,4.98e-08,,1
diameter,0.5mm,Middle,369.0,2.69e-07,,1
diameter,0.5mm,Middle,370.0,4.79e-07,,1
diameter,0.5mm,Middle,371.0,5.59e-06,,1
diameter,0.5mm,Middle,372.0,9.59e-06,,1
diameter,0.5mm,Middle,373.0,9.78e-06,,1
diameter,0.5mm,Middle,374.0,9.74e-06,,1
diameter,0.5mm,Middle,375.0,1.21e-05,,1
diameter,0.5mm,Middle,376.0,1.67e-05,,1
diameter,0.5mm,Middle,377.0,2.39e-05,,1
diameter,0.5mm,Middle,378.0,3.5e-05,,1
diameter,0.5mm,Middle,379.0,4.5e-05,,1
diameter,0.5mm,Middle,380.0,4.35e-05,,1
diameter,0.5mm,Middle,381.0,3.05e-05,,1
diameter,0.5mm,Middle,382.0,1.48e-05,,1
diameter,0.5mm,Middle,383.0,3.22e-06,,1
diameter,0.5mm,Middle,384.0,3.31e-06,,1
