dataset,param_set,channel,wavelength_nm,irradiance_mean,irradiance_std,n_curves
air,1H.1A-CONT,bulk,317.0,3.23408e-05,,1
air,1H.1A-CONT,bulk,318.0,2.48775e-05,,1
air,1H.1A-CONT,bulk,319.0,1.14452e-05,,1
air,1H.1A-CONT,bulk,320.0,2.15303e-07,,1
air,1H.1A-CONT,bulk,321.0,2.13381e-07,,1
air,1H.1A-CONT,bulk,322.0,2.1151e-07,,1
air,1H.1A-CONT,bulk,323.0,5.65286e-07,,1
air,1H.1A-CONT,bulk,324.0,5.32094e-08,,1
air,1H.1A-CONT,bulk,325.0,4.72535e-08,,1
air,1H.1A-CONT,bulk,326.0,7.31283e-08,,1
air,1H.1A-CONT,bulk,327.0,2.14113e-07,,1
air,1H.1A-CONT,bulk,328.0,3.54375e-07,,1
air,1H.1A-CONT,bulk,329.0,9.14135e-07,,1
air,1H.1A-CONT,bulk,330.0,4.55903e-07,,1
air,1H.1A-CONT,bulk,331.0,3.46015e-06,,1
air,1H.1A-CONT,bulk,332.0,6.37379e-06,,1
air,1H.1A-CONT,bulk,333.0,3.02229e-05,,1
air,1H.1A-CONT,bulk,334.0,6.52936e-05,,1
air,1H.1A-CONT,bulk,335.0,9.77253e-05,,1
air,1H.1A-CONT,bulk,336.0,0.000107985,,1
air,1H.1A-CONT,bulk,337.0,9.17227e-05,,1
air,1H.1A-CONT,bulk,338.0,5.76423e-05,,1
air,1H.1A-CONT,bulk,339.0,2.24849e-05,,1
air,1H.1A-CONT,bulk,340.0,4.23884e-06,,1
air,1H.1A-CONT,bulk,341.0,1.78056e-07,,1
air,1H.1A-CONT,bulk,342.0,1.32971e-07,,1
air,1H.1A-CONT,bulk,343.0,8.70509e-08,,1
air,1H.1A-CONT,bulk,344.0,1.45582e-07,,1
air,1H.1A-CONT,bulk,345.0,9.29877e-08,,1
air,1H.1A-CONT,bulk,346.0,9.56039e-08,,1
air,1H.1A-CONT,bulk,347.0,8.91184e-08,,1
air,1H.1A-CONT,bulk,348.0,4.02454e-08,,1
air,1H.1A-CONT,bulk,349.0,1.37762e-07,,1
air,1H.1A-CONT,bulk,350.0,3.09082e-07,,1
air,1H.1A-CONT,bulk,351.0,1.3925e-06,,1
air,1H.1A-CONT,bulk,352.0,2.47852e-06,,1
air,1H.1A-CONT,bulk,353.0,1.86994e-05,,1
