dataset,param_set,channel,wavelength_nm,irradiance_mean,irradiance_std,n_curves
air,5H..01A,bulk,227.0,2.3440506666666666e-05,3.687769446768783e-05,3
air,5H..01A,bulk,228.0,3.594263666666666e-05,5.8657081283978264e-05,3
air,5H..01A,bulk,229.0,1.967383e-05,3.057639093597706e-05,3
air,5H..01A,bulk,230.0,1.014243e-05,1.4224789491057503e-05,3
air,5H..01A,bulk,231.0,6.00655e-06,7.309870705416069e-06,3
air,5H..01A,bulk,232.0,2.346326666666667e-06,9.45679885391105e-07,3
air,5H..01A,bulk,233.0,2.5532233333333335e-06,1.1843823637800984e-06,3
air,5H..01A,bulk,234.0,1.3003333333333335e-06,2.7589560567963623e-07,3
air,5H..01A,bulk,235.0,9.416596666666667e-07,6.721760153042752e-07,3
air,5H..01A,bulk,236.0,2.032046666666667e-06,9.677912724515206e-07,3
air,5H..01A,bulk,237.0,2.6335433333333335e-06,2.256547371147642e-06,3
air,5H..01A,bulk,238.0,1.57977e-06,7.225294247295399e-07,3
air,5H..01A,bulk,239.0,6.320526666666666e-06,9.069092051585612e-06,3
air,5H..01A,bulk,240.0,1.0429016666666666e-05,1.6274082184363986e-05,3
air,5H..01A,bulk,241.0,2.5998258000000003e-05,4.342826851648727e-05,3
air,5H..01A,bulk,242.0,2.0707839999999998e-05,3.447446607247638e-05,3
air,5H..01A,bulk,243.0,4.170514666666667e-06,5.9522878960024554e-06,3
air,5H..01A,bulk,244.0,2.212392e-06,2.488103371310565e-06,3
air,5H..01A,bulk,245.0,1.7070623333333333e-06,1.746772892022982e-06,3
air,5H..01A,bulk,246.0,1.289299e-06,1.1234839266954378e-06,3
air,5H..01A,bulk,247.0,5.663343333333333e-07,2.811465270465444e-07,3
air,5H..01A,bulk,248.0,1.3028544333333335e-06,1.7464509368312538e-06,3
air,5H..01A,bulk,249.0,6.21926e-07,2.9231860287706627e-07,3
air,5H..01A,bulk,250.0,1.550285e-06,1.1382498292444414e-06,3
air,5H..01A,bulk,251.0,7.670293333333333e-07,7.082614136844767e-07,3
air,5H..01A,bulk,252.0,1.801056533333333e-05,2.892918148519528e-05,3
air,5H..01A,bulk,253.0,2.7698144000000002e-05,4.403260319992299e-05,3
air,5H..01A,bulk,254.0,2.9590228666666666e-05,2.562395779731666e-05,3
air,5H..01A,bulk,255.0,2.9401238333333333e-05,3.474655319220035e-05,3
air,5H..01A,bulk,256.0,1.5371441333333335e-05,1.5201568467994524e-05,3
air,5H..01A,bulk,257.0,8.570646333333333e-06,7.601263604754826e-06,3
air,5H..01A,bulk,258.0,9.961956333333333e-06,9.881028466665822e-06,3
air,5H..01A,bulk,259.0,7.083811666666667e-06,9.662746496657061e-06,3
air,5H..01A,bulk,260.0,2.9483643333333334e-06,2.9590206479807354e-06,3
air,5H..01A,bulk,261.0,1.5673926666666667e-06,1.341717072382003e-06,3
air,5H..01A,bulk,262.0,9.125176666666667e-07,1.0107758744579995e-06,3
air,5H..01A,bulk,263.0,7.498363333333333e-07,2.94417014695709e-07,3
air,5H..01A,bulk,264.0,5.994443333333333e-07,1.2378130837219863e-07,3
air,5H..01A,bulk,265.0,4.2239566666666673e-07,7.634188513085943e-08,3
air,5H..01A,bulk,266.0,4.4705733333333335e-07,1.9906605494994197e-08,3
air,5H..01A,bulk,267.0,4.529516666666667e-07,5.301794067420313e-09,3
air,5H..01A,bulk,268.0,4.22692e-07,8.5149069871608e-09,3
air,5H..01A,bulk,269.0,4.3587433333333335e-07,5.84822083229877e-08,3
air,5H..01A,bulk,270.0,4.0672400000000004e-07,2.962609856190991e-08,3
air,5H..01A,bulk,271.0,3.7689633333333333e-07,2.6436854811670265e-08,3
air,5H..01A,bulk,272.0,3.295333333333334e-07,4.9142895074805405e-08,3
air,5H..01A,bulk,273.0,8.817106666666666e-07,1.0462761600884029e-06,3
air,5H..01A,bulk,274.0,1.2956300000000001e-06,1.6787497602382555e-06,3
air,5H..01A,bulk,275.0,1.0036833333333333e-06,8.599448702820043e-07,3
air,5H..01A,bulk,276.0,2.0466566666666667e-07,7.6084473845413e-08,3
air,5H..01A,bulk,277.0,4.3127600000000003e-07,2.188999320443019e-07,3
air,5H..01A,bulk,278.0,6.36648e-07,4.621231122590603e-07,3
air,5H..01A,bulk,279.0,3.0506573333333333e-06,3.9092268367391185e-06,3
air,5H..01A,bulk,280.0,3.3710803333333336e-06,5.071394448715298e-06,3
air,5H..01A,bulk,281.0,2.2887906666666664e-06,1.8514089105763031e-06,3
air,5H..01A,bulk,282.0,2.357506333333333e-06,2.413650918681145e-06,3
air,5H..01A,bulk,283.0,7.705053e-06,1.2121515531478604e-05,3
air,5H..01A,bulk,284.0,8.120891766666667e-06,1.3571830949854895e-05,3
air,5H..01A,bulk,285.0,3.012325e-06,4.540525651422421e-06,3
air,5H..01A,bulk,286.0,1.6684626666666667e-06,2.1484143500361685e-06,3
air,5H..01A,bulk,287.0,3.5805999999999997e-06,4.481148523169032e-06,3
