dataset,sample_id,param_set,trial,channel,wavelength_nm,irradiance_W_m2_nm
air,air__100H.1__bulk,100H,1,bulk,483.0,4.66661e-08
air,air__100H.1__bulk,100H,1,bulk,484.0,4.66249e-08
air,air__100H.1__bulk,100H,1,bulk,485.0,4.65832e-08
air,air__100H.1__bulk,100H,1,bulk,486.0,4.67103e-08
air,air__100H.1__bulk,100H,1,bulk,487.0,4.68408e-08
air,air__100H.1__bulk,100H,1,bulk,488.0,4.69745e-08
air,air__100H.1__bulk,100H,1,bulk,489.0,4.70971e-08
air,air__100H.1__bulk,100H,1,bulk,490.0,4.72144e-08
air,air__100H.1__bulk,100H,1,bulk,491.0,4.75788e-08
air,air__100H.1__bulk,100H,1,bulk,492.0,4.79589e-08
air,air__100H.1__bulk,100H,1,bulk,493.0,4.81457e-08
air,air__100H.1__bulk,100H,1,bulk,494.0,4.83468e-08
air,air__100H.1__bulk,100H,1,bulk,495.0,4.9348e-08
air,air__100H.1__bulk,100H,1,bulk,496.0,5.00575e-08
air,air__100H.1__bulk,100H,1,bulk,497.0,4.76415e-08
air,air__100H.1__bulk,100H,1,bulk,498.0,4.70398e-08
air,air__100H.1__bulk,100H,1,bulk,499.0,5.85225e-08
air,air__100H.1__bulk,100H,1,bulk,500.0,5.96981e-08
air,air__100H.2__bulk,100H,2,bulk,200.0,3.16305e-05
air,air__100H.2__bulk,100H,2,bulk,201.0,2.64654e-05
air,air__100H.2__bulk,100H,2,bulk,202.0,2.27504e-05
air,air__100H.2__bulk,100H,2,bulk,203.0,1.995e-05
air,air__100H.2__bulk,100H,2,bulk,204.0,1.77634e-05
air,air__100H.2__bulk,100H,2,bulk,205.0,1.60088e-05
air,air__100H.2__bulk,100H,2,bulk,206.0,1.44979e-05
air,air__100H.2__bulk,100H,2,bulk,207.0,1.32476e-05
air,air__100H.2__bulk,100H,2,bulk,208.0,1.21959e-05
air,air__100H.2__bulk,100H,2,bulk,209.0,1.12988e-05
air,air__100H.2__bulk,100H,2,bulk,210.0,1.05247e-05
air,air__100H.2__bulk,100H,2,bulk,211.0,9.36856e-06
air,air__100H.2__bulk,100H,2,bulk,212.0,8.4413e-06
air,air__100H.2__bulk,100H,2,bulk,213.0,7.68106e-06
air,air__100H.2__bulk,100H,2,bulk,214.0,7.04644e-06
air,air__100H.2__bulk,100H,2,bulk,215.0,6.50869e-06
air,air__100H.2__bulk,100H,2,bulk,216.0,5.63591e-06
air,air__100H.2__bulk,100H,2,bulk,217.0,4.96952e-06
air,air__100H.2__bulk,100H,2,bulk,218.0,4.44406e-06
air,air__100H.2__bulk,100H,2,bulk,219.0,4.01909e-06
air,air__100H.2__bulk,100H,2,bulk,220.0,3.66831e-06
air,air__100H.2__bulk,100H,2,bulk,221.0,3.28927e-06
air,air__100H.2__bulk,100H,2,bulk,222.0,2.98123e-06
air,air__100H.2__bulk,100H,2,bulk,223.0,2.72594e-06
air,air__100H.2__bulk,100H,2,bulk,224.0,2.51093e-06
air,air__100H.2__bulk,100H,2,bulk,225.0,2.32735e-06
air,air__100H.2__bulk,100H,2,bulk,226.0,2.23716e-06
air,air__100H.2__bulk,100H,2,bulk,227.0,2.1537e-06
air,air__100H.2__bulk,100H,2,bulk,228.0,2.07624e-06
air,air__100H.2__bulk,100H,2,bulk,229.0,2.00415e-06
air,air__100H.2__bulk,100H,2,bulk,230.0,1.93691e-06
air,air__100H.2__bulk,100H,2,bulk,231.0,1.84386e-06
air,air__100H.2__bulk,100H,2,bulk,232.0,1.75934e-06
air,air__100H.2__bulk,100H,2,bulk,233.0,1.68224e-06
air,air__100H.2__bulk,100H,2,bulk,234.0,1.6116e-06
air,air__100H.2__bulk,100H,2,bulk,235.0,1.54666e-06
air,air__100H.2__bulk,100H,2,bulk,236.0,1.40268e-06
air,air__100H.2__bulk,100H,2,bulk,237.0,1.28323e-06
air,air__100H.2__bulk,100H,2,bulk,238.0,1.18252e-06
air,air__100H.2__bulk,100H,2,bulk,239.0,1.09647e-06
air,air__100H.2__bulk,100H,2,bulk,240.0,1.02209e-06
air,air__100H.2__bulk,100H,2,bulk,241.0,9.14947e-07
air,air__100H.2__bulk,100H,2,bulk,242.0,8.28132e-07
air,air__100H.2__bulk,100H,2,bulk,243.0,7.56365e-07
air,air__100H.2__bulk,100H,2,bulk,244.0,6.96044e-07
air,air__100H.2__bulk,100H,2,bulk,245.0,6.44634e-07
air,air__100H.2__bulk,100H,2,bulk,246.0,6.06854e-07
air,air__100H.2__bulk,100H,2,bulk,247.0,5.73256e-07
air,air__100H.2__bulk,100H,2,bulk,248.0,5.43184e-07
air,air__100H.2__bulk,100H,2,bulk,249.0,5.16109e-07
air,air__100H.2__bulk,100H,2,bulk,250.0,4.91606e-07
air,air__100H.2__bulk,100H,2,bulk,251.0,4.92484e-07
air,air__100H.2__bulk,100H,2,bulk,252.0,4.93366e-07
air,air__100H.2__bulk,100H,2,bulk,253.0,4.94251e-07
air,air__100H.2__bulk,100H,2,bulk,254.0,4.95139e-07
air,air__100H.2__bulk,100H,2,bulk,255.0,4.9603e-07
air,air__100H.2__bulk,100H,2,bulk,256.0,5.01216e-07
air,air__100H.2__bulk,100H,2,bulk,257.0,5.06512e-07
air,air__100H.2__bulk,100H,2,bulk,258.0,5.11921e-07
air,air__100H.2__bulk,100H,2,bulk,259.0,5.17447e-07
air,air__100H.2__bulk,100H,2,bulk,260.0,5.23093e-07
air,air__100H.2__bulk,100H,2,bulk,261.0,5.15692e-07
air,air__100H.2__bulk,100H,2,bulk,262.0,5.08498e-07
air,air__100H.2__bulk,100H,2,bulk,263.0,5.01502e-07
air,air__100H.2__bulk,100H,2,bulk,264.0,4.94696e-07
air,air__100H.2__bulk,100H,2,bulk,265.0,4.88071e-07
air,air__100H.2__bulk,100H,2,bulk,266.0,4.65259e-07
air,air__100H.2__bulk,100H,2,bulk,267.0,4.44483e-07
air,air__100H.2__bulk,100H,2,bulk,268.0,4.25484e-07
air,air__100H.2__bulk,100H,2,bulk,269.0,4.08042e-07
air,air__100H.2__bulk,100H,2,bulk,270.0,3.91974e-07
air,air__100H.2__bulk,100H,2,bulk,271.0,3.72215e-07
air,air__100H.2__bulk,100H,2,bulk,272.0,3.54353e-07
air,air__100H.2__bulk,100H,2,bulk,273.0,3.38126e-07
air,air__100H.2__bulk,100H,2,bulk,274.0,3.23321e-07
air,air__100H.2__bulk,100H,2,bulk,275.0,3.09757e-07
air,air__100H.2__bulk,100H,2,bulk,276.0,2.92562e-07
air,air__100H.2__bulk,100H,2,bulk,277.0,2.77175e-07
air,air__100H.2__bulk,100H,2,bulk,278.0,2.63326e-07
air,air__100H.2__bulk,100H,2,bulk,279.0,2.50795e-07
air,air__100H.2__bulk,100H,2,bulk,280.0,2.39402e-07
air,air__100H.2__bulk,100H,2,bulk,281.0,2.32386e-07
air,air__100H.2__bulk,100H,2,bulk,282.0,2.2577e-07
air,air__100H.2__bulk,100H,2,bulk,283.0,2.19521e-07
air,air__100H.2__bulk,100H,2,bulk,284.0,2.13604e-07
air,air__100H.2__bulk,100H,2,bulk,285.0,2.07999e-07
air,air__100H.2__bulk,100H,2,bulk,286.0,2.07825e-07
air,air__100H.2__bulk,100H,2,bulk,287.0,2.07644e-07
air,air__100H.2__bulk,100H,2,bulk,288.0,2.07409e-07
air,air__100H.2__bulk,100H,2,bulk,289.0,2.07218e-07
air,air__100H.2__bulk,100H,2,bulk,290.0,2.07227e-07
air,air__100H.2__bulk,100H,2,bulk,291.0,2.04823e-07
air,air__100H.2__bulk,100H,2,bulk,292.0,2.01754e-07
air,air__100H.2__bulk,100H,2,bulk,293.0,1.9976e-07
air,air__100H.2__bulk,100H,2,bulk,294.0,2.00322e-07
air,air__100H.2__bulk,100H,2,bulk,295.0,1.96365e-07
air,air__100H.2__bulk,100H,2,bulk,296.0,1.81389e-07
air,air__100H.2__bulk,100H,2,bulk,297.0,1.86149e-07
air,air__100H.2__bulk,100H,2,bulk,298.0,2.16876e-07
air,air__100H.2__bulk,100H,2,bulk,299.0,1.67804e-07
air,air__100H.2__bulk,100H,2,bulk,300.0,4.40857e-08
air,air__100H.2__bulk,100H,2,bulk,301.0,2.40638e-07
air,air__100H.2__bulk,100H,2,bulk,302.0,6.25245e-07
air,air__100H.2__bulk,100H,2,bulk,303.0,3.03878e-07
air,air__100H.2__bulk,100H,2,bulk,304.0,1.27238e-06
