peak_rank,dataset,param_set,channel,n_curves,peak_wavelength_nm_grid,peak_wavelength_nm_refined,peak_wavelength_nm_0p1,peak_intensity,peak_intensity_refined,candidate_rank,delta_nm,nist_wavelength_nm,nist_obs_wl_nm,nist_ritz_wl_nm,nist_aki_s-1,nist_acc,nist_transition_type,nist_spectra_query,nist_element,nist_ion_stage,nist_species,nist_transition,nist_rel_intensity,nist_source
10,diameter,0.5mm,Middle,1,373.0,373.32608695652175,373.3,9.78e-06,9.792228260869565e-06,2,0.012586999999996351,373.287413,,373.287413,496500.0,AAA,,He I,He,I,He I,,496500.0,live_nist
10,diameter,0.5mm,Middle,1,373.0,373.32608695652175,373.3,9.78e-06,9.792228260869565e-06,3,0.013652299999989737,373.2863477,,373.2863477,827500.0,AAA,,He I,He,I,He I,,827500.0,live_nist
1,diameter,0.5mm,Tip,1,390.0,390.2894736842105,390.3,4.53e-05,4.577763157894737e-05,1,0.23749000000003662,390.06251,390.06251,390.062636,7200000.0,B,,Ar II,Ar,II,Ar II,,7200000.0,live_nist
1,diameter,0.5mm,Tip,1,390.0,390.2894736842105,390.3,4.53e-05,4.577763157894737e-05,2,0.2815500000000384,390.01845,,390.01845,414000.0,C,,N I,N,I,N I,,414000.0,live_nist
1,diameter,0.5mm,Tip,1,390.0,390.2894736842105,390.3,4.53e-05,4.577763157894737e-05,3,0.3949999999999818,390.695,390.695,390.693849,,,,Ar II,Ar,II,Ar II,,,live_nist
2,diameter,0.5mm,Tip,1,334.0,334.28195488721803,334.3,4.05e-05,4.102866541353384e-05,1,0.12540000000001328,334.1746,334.1746,334.174042,,,,Ar II,Ar,II,Ar II,,,live_nist
2,diameter,0.5mm,Tip,1,334.0,334.28195488721803,334.3,4.05e-05,4.102866541353384e-05,2,0.1493000000000393,334.1507,334.1507,334.15023,,,,Ar II,Ar,II,Ar II,,,live_nist
2,diameter,0.5mm,Tip,1,334.0,334.28195488721803,334.3,4.05e-05,4.102866541353384e-05,3,0.4177500000000123,333.88225,333.88225,333.882317,,,,Ar II,Ar,II,Ar II,,,live_nist
3,diameter,0.5mm,Tip,1,314.0,314.32142857142856,314.3,2.71e-05,2.8112500000000002e-05,1,0.08909999999997353,314.3891,314.3891,314.389502,,,,Ar II,Ar,II,Ar II,,,live_nist
3,diameter,0.5mm,Tip,1,314.0,314.32142857142856,314.3,2.71e-05,2.8112500000000002e-05,2,0.2037000000000262,314.0963,314.0963,314.097313,,,,Ar II,Ar,II,Ar II,,,live_nist
3,diameter,0.5mm,Tip,1,314.0,314.32142857142856,314.3,2.71e-05,2.8112500000000002e-05,3,0.2899999999999636,314.59,314.59,314.590397,,,,Ar II,Ar,II,Ar II,,,live_nist
4,diameter,0.5mm,Tip,1,355.0,355.3125,355.3,1.58e-05,1.6112500000000002e-05,1,0.13060000000001537,355.4306,355.4306,355.43055,270000.0,D,,Ar I,Ar,I,Ar I,,270000.0,live_nist
4,diameter,0.5mm,Tip,1,355.0,355.3125,355.3,1.58e-05,1.6112500000000002e-05,2,0.14150000000000773,355.4415,355.4415,355.4415948,982350.0,AAA,,He I,He,I,He I,,982350.0,live_nist
4,diameter,0.5mm,Tip,1,355.0,355.3125,355.3,1.58e-05,1.6112500000000002e-05,3,0.14150000000000773,355.4415,355.4415,355.4415799,545790.0,AAA,,He I,He,I,He I,,545790.0,live_nist
5,diameter,0.5mm,Tip,1,427.0,427.3985148514852,427.4,5.3e-06,5.620804455445545e-06,1,0.02400000000000091,427.424,427.424,427.4243,,,,O II,O,II,O II,,,live_nist
5,diameter,0.5mm,Tip,1,427.0,427.3985148514852,427.4,5.3e-06,5.620804455445545e-06,2,0.07200000000000273,427.328,,427.328,828000.0,C+,,N I,N,I,N I,,828000.0,live_nist
5,diameter,0.5mm,Tip,1,427.0,427.3985148514852,427.4,5.3e-06,5.620804455445545e-06,3,0.08959999999996171,427.3104,427.3104,427.3101,,,,O II,O,II,O II,,,live_nist
6,diameter,0.5mm,Tip,1,329.0,329.0549048316252,329.1,1.21e-06,1.2120589311859445e-06,1,0.04404999999997017,329.14405,329.14405,329.144028,,,,Ar II,Ar,II,Ar II,,,live_nist
6,diameter,0.5mm,Tip,1,329.0,329.0549048316252,329.1,1.21e-06,1.2120589311859445e-06,2,0.10190000000000055,328.9981,328.9981,328.9982,,,,O II,O,II,O II,,,live_nist
6,diameter,0.5mm,Tip,1,329.0,329.0549048316252,329.1,1.21e-06,1.2120589311859445e-06,3,0.2640199999999595,329.36402,329.36402,329.364009,170000000.0,D,,Ar II,Ar,II,Ar II,,170000000.0,live_nist
7,diameter,0.5mm,Tip,1,310.0,309.8950892857143,309.9,1.06e-06,1.0649308035714285e-06,1,0.09250000000002956,309.9925,309.9925,309.992564,,,,Ar II,Ar,II,Ar II,,,live_nist
7,diameter,0.5mm,Tip,1,310.0,309.8950892857143,309.9,1.06e-06,1.0649308035714285e-06,2,0.15229999999996835,309.7477,309.7477,309.7471,,,,O II,O,II,O II,,,live_nist
7,diameter,0.5mm,Tip,1,310.0,309.8950892857143,309.9,1.06e-06,1.0649308035714285e-06,3,0.2004000000000019,310.1004,310.1004,310.100855,,,,Ar II,Ar,II,Ar II,,,live_nist
8,diameter,0.5mm,Tip,1,384.0,384.1783088235294,384.2,8.13e-07,8.216479779411765e-07,1,0.01870000000002392,384.2187,,384.2187,30600000.0,B,,N II,N,II,N II,,30600000.0,live_nist
8,diameter,0.5mm,Tip,1,384.0,384.1783088235294,384.2,8.13e-07,8.216479779411765e-07,2,0.044899999999984175,384.2449,,384.2449,80500.0,C,,N II,N,II,N II,,80500.0,live_nist
8,diameter,0.5mm,Tip,1,384.0,384.1783088235294,384.2,8.13e-07,8.216479779411765e-07,3,0.048139999999989413,384.15186,384.15186,384.151838,26900000.0,B,,Ar II,Ar,II,Ar II,,26900000.0,live_nist
9,diameter,0.5mm,Tip,1,260.0,259.96153846153845,260.0,5.23e-07,5.230096153846154e-07,1,0.09559999999999036,260.0956,260.0956,260.095957,,,,Ar II,Ar,II,Ar II,,,live_nist
10,diameter,0.5mm,Tip,1,350.0,350.0614973262032,350.1,4.92e-07,4.930608288770054e-07,1,0.06689999999997553,350.1669,350.1669,350.1668,,,,O II,O,II,O II,,,live_nist
10,diameter,0.5mm,Tip,1,350.0,350.0614973262032,350.1,4.92e-07,4.930608288770054e-07,2,0.10430000000002337,349.9957,349.9957,349.996731,,,,Ar II,Ar,II,Ar II,,,live_nist
10,diameter,0.5mm,Tip,1,350.0,350.0614973262032,350.1,4.92e-07,4.930608288770054e-07,3,0.1524100000000317,349.94759,349.94759,349.94759,300000.0,C+,,Ar II,Ar,II,Ar II,,300000.0,live_nist
1,diameter,1mm,0.5 cm below,1,335.0,335.26630434782606,335.3,2.94e-05,3.0052445652173912e-05,1,0.15550980000000436,335.4555098,,335.4555098,1453700.0,AAA,,He I,He,I,He I,,1453700.0,live_nist
1,diameter,1mm,0.5 cm below,1,335.0,335.26630434782606,335.3,2.94e-05,3.0052445652173912e-05,2,0.16900000000003956,335.131,,335.131,,,,O II,O,II,O II,,,live_nist
1,diameter,1mm,0.5 cm below,1,335.0,335.26630434782606,335.3,2.94e-05,3.0052445652173912e-05,3,0.2076200000000199,335.09238,335.09238,335.092386,150000000.0,D,,Ar II,Ar,II,Ar II,,150000000.0,live_nist
2,diameter,1mm,0.5 cm below,1,391.0,391.2959183673469,391.3,1.12e-05,1.1285816326530612e-05,1,0.08920000000000528,391.3892,,391.3892,24200000.0,C+,,N II,N,II,N II,,24200000.0,live_nist
