Name,Current Measurement,Current Measurement,Current Measurement,1H.9A-CONT
Date,1/1/1980,1/1/1980,1/1/1980,1/1/1980
Time,00:32am,00:34am,00:36am,00:36am
Irradiance total,2.08E-03,4.63E-03,2.08E-03,2.08E-03
Irradiance UVA,1.32E-03,1.41E-03,1.21E-03,1.21E-03
Irradiance UVB,2.50E-04,3.97E-04,2.98E-04,2.98E-04
Irradiance UVC,4.85E-04,2.35E-03,4.99E-04,4.99E-04
Irradiance @253.7nm,1.04E-04,5.54E-06,5.52E-06,5.52E-06
Irradiance @365nm,1.36E-05,2.60E-06,3.50E-06,3.50E-06
Irradiance WL range,2.08E-03,4.63E-03,2.08E-03,2.08E-03
Spectral Centroid,322.2,292.2,321.9,321.9
,,,,
wavelength [nm],Irradiance[W/(m²*nm)],Irradiance[W/(m²*nm)],Irradiance[W/(m²*nm)],Irradiance[W/(m²*nm)]
,,,,
459,5.43381E-08,5.42942E-08,5.4442E-08,5.4442E-08
460,5.37983E-08,5.37939E-08,5.38087E-08,5.38087E-08
461,5.33136E-08,5.34834E-08,5.29113E-08,5.29113E-08
462,5.28376E-08,5.28077E-08,5.29084E-08,5.29084E-08
463,5.23699E-08,5.17229E-08,5.39027E-08,5.39027E-08
464,5.19105E-08,5.22099E-08,5.12013E-08,5.12013E-08
465,5.14591E-08,5.3883E-08,4.57173E-08,4.57173E-08
466,5.10722E-08,4.92158E-08,5.54695E-08,5.54695E-08
467,5.0691E-08,4.17529E-08,7.1864E-08,7.1864E-08
468,5.03155E-08,6.00787E-08,2.71879E-08,2.71879E-08
469,4.99455E-08,8.22551E-08,9.45812E-08,9.45812E-08
470,4.95809E-08,2.5499E-09,1.60991E-07,1.60991E-07
471,4.92709E-08,1.33888E-07,3.19889E-07,3.19889E-07
472,4.89648E-08,2.63593E-07,1.58951E-07,1.58951E-07
473,4.86624E-08,4.41665E-07,1.31309E-06,1.31309E-06
474,4.83637E-08,2.19477E-07,2.45306E-06,2.45306E-06
475,4.80687E-08,2.14593E-06,7.12058E-06,7.12058E-06
476,4.78076E-08,4.05159E-06,6.187E-06,6.187E-06
477,4.75493E-08,4.14537E-06,1.18481E-06,1.18481E-06
478,4.72937E-08,2.06155E-06,5.89223E-07,5.89223E-07
479,4.70409E-08,4.07444E-05,4.52845E-07,4.52845E-07
480,4.67908E-08,7.90158E-05,3.17918E-07,3.17918E-07
481,4.67491E-08,0.000161617,7.83374E-08,7.83374E-08
482,4.67076E-08,0.000107351,6.10558E-08,6.10558E-08
483,4.66661E-08,3.31285E-06,4.3805E-08,4.3805E-08
484,4.66246E-08,1.99654E-06,6.48383E-08,6.48383E-08
485,4.65833E-08,6.82571E-07,4.6027E-08,4.6027E-08
486,4.67115E-08,5.31825E-06,4.21307E-08,4.21307E-08
487,4.68404E-08,2.66646E-06,4.72796E-08,4.72796E-08
488,4.697E-08,1.46973E-06,4.79687E-08,4.79687E-08
489,4.71003E-08,2.66349E-07,4.702E-08,4.702E-08
490,4.72314E-08,3.70719E-07,4.75411E-08,4.75411E-08
491,4.75611E-08,1.86653E-07,4.70109E-08,4.70109E-08
492,4.78955E-08,1.30209E-07,4.57477E-08,4.57477E-08
493,4.82346E-08,7.29657E-08,5.13183E-08,5.13183E-08
494,4.85786E-08,6.7087E-08,5.66595E-08,5.66595E-08
495,4.89274E-08,4.14478E-08,3.42404E-08,3.42404E-08
496,4.92343E-08,4.50659E-08,2.0478E-08,2.0478E-08
497,4.95454E-08,5.1555E-08,1.16054E-07,1.16054E-07
498,4.98602E-08,5.05217E-08,1.48389E-07,1.48389E-07
499,5.01775E-08,5.03683E-08,7.46687E-08,7.46687E-08
500,5.05002E-08,5.12008E-08,3.75745E-08,3.75745E-08
